DATE,CCG,AP,DEMREG,PERC
2020-04-30,Bolton,155,2332,6.646655231560892
2020-04-30,Bury,170,1839,9.244154431756389
2020-04-30,"Heywood, Middleton and Rochdale",125,1533,8.153946510110893
2020-04-30,Manchester,120,2896,4.143646408839779
2020-04-30,Oldham,90,1824,4.934210526315789
2020-04-30,Salford,110,1790,6.145251396648045
2020-04-30,Stockport,160,2700,5.925925925925926
2020-04-30,Tameside and Glossop,135,2078,6.496631376323388
2020-04-30,Trafford,55,1900,2.8947368421052633
2020-04-30,Wigan Borough,130,2631,4.941087039148613
2020-05-31,Bolton,155,2275,6.813186813186813
2020-05-31,Bury,155,1797,8.625486922648859
2020-05-31,"Heywood, Middleton and Rochdale",140,1510,9.271523178807946
2020-05-31,Manchester,125,2847,4.390586582367404
2020-05-31,Oldham,90,1810,4.972375690607735
2020-05-31,Salford,100,1745,5.730659025787966
2020-05-31,Stockport,155,2646,5.857898715041572
2020-05-31,Tameside and Glossop,115,2025,5.679012345679013
2020-05-31,Trafford,35,1816,1.9273127753303965
2020-05-31,Wigan Borough,120,2577,4.656577415599535
2020-06-30,Bolton,150,2274,6.596306068601583
2020-06-30,Bury,145,1774,8.173618940248026
2020-06-30,"Heywood, Middleton and Rochdale",125,1489,8.394895903290799
2020-06-30,Manchester,125,2834,4.410726887791108
2020-06-30,Oldham,85,1810,4.696132596685083
2020-06-30,Salford,90,1725,5.217391304347826
2020-06-30,Stockport,135,2609,5.174396320429283
2020-06-30,Tameside and Glossop,105,1991,5.2737317930688095
2020-06-30,Trafford,40,1782,2.244668911335578
2020-06-30,Wigan Borough,105,2553,4.112808460634548
2020-07-31,Bolton,150,2274,6.596306068601583
2020-07-31,Bury,140,1781,7.860752386299832
2020-07-31,"Heywood, Middleton and Rochdale",120,1485,8.080808080808081
2020-07-31,Manchester,120,2846,4.2164441321152495
2020-07-31,Oldham,90,1799,5.00277932184547
2020-07-31,Salford,90,1713,5.253940455341506
2020-07-31,Stockport,150,2596,5.778120184899846
2020-07-31,Tameside and Glossop,105,1995,5.2631578947368425
2020-07-31,Trafford,35,1768,1.9796380090497738
2020-07-31,Wigan Borough,95,2535,3.747534516765286
2020-08-31,Bolton,125,2294,5.448997384481255
2020-08-31,Bury,140,1783,7.851934941110488
2020-08-31,"Heywood, Middleton and Rochdale",120,1473,8.146639511201629
2020-08-31,Manchester,100,2848,3.5112359550561796
2020-08-31,Oldham,120,1834,6.543075245365322
2020-08-31,Salford,100,1732,5.773672055427252
2020-08-31,Stockport,145,2589,5.600617999227501
2020-08-31,Tameside and Glossop,105,1989,5.279034690799397
2020-08-31,Trafford,40,1740,2.2988505747126435
2020-08-31,Wigan Borough,95,2527,3.7593984962406015
2020-09-30,Bolton,160,2304,6.944444444444445
2020-09-30,Bury,135,1778,7.592800899887514
2020-09-30,"Heywood, Middleton and Rochdale",125,1478,8.457374830852503
2020-09-30,Manchester,130,2858,4.548635409377187
2020-09-30,Oldham,90,1803,4.9916805324459235
2020-09-30,Salford,85,1709,4.97366881217086
2020-09-30,Stockport,130,2609,4.982752012265236
2020-09-30,Tameside and Glossop,115,1996,5.761523046092185
2020-09-30,Trafford,30,1756,1.7084282460136675
2020-09-30,Wigan Borough,100,2527,3.957261574990107
2020-10-31,Bolton,140,2291,6.110868616324749
2020-10-31,Bury,140,1787,7.834359261331841
2020-10-31,"Heywood, Middleton and Rochdale",115,1467,7.839127471029312
2020-10-31,Manchester,135,2850,4.7368421052631575
2020-10-31,Oldham,90,1793,5.01952035694367
2020-10-31,Salford,85,1703,4.9911920140927775
2020-10-31,Stockport,135,2596,5.200308166409862
2020-10-31,Tameside and Glossop,125,1964,6.364562118126273
2020-10-31,Trafford,25,1751,1.4277555682467162
2020-10-31,Wigan Borough,105,2492,4.213483146067416
2020-11-30,Bolton,150,2313,6.485084306095979
2020-11-30,Bury,160,1776,9.00900900900901
2020-11-30,"Heywood, Middleton and Rochdale",105,1446,7.261410788381743
2020-11-30,Manchester,125,2812,4.445234708392603
2020-11-30,Oldham,75,1759,4.263786242183058
2020-11-30,Salford,95,1687,5.631298162418495
2020-11-30,Stockport,125,2582,4.841208365608056
2020-11-30,Tameside and Glossop,120,1919,6.253256904637833
2020-11-30,Trafford,30,1738,1.7261219792865363
2020-11-30,Wigan Borough,95,2448,3.880718954248366
2020-12-31,Bolton,155,2309,6.712862711130359
2020-12-31,Bury,155,1762,8.796821793416573
2020-12-31,"Heywood, Middleton and Rochdale",105,1446,7.261410788381743
2020-12-31,Manchester,120,2792,4.2979942693409745
2020-12-31,Oldham,75,1733,4.327755337564916
2020-12-31,Salford,95,1667,5.698860227954409
2020-12-31,Stockport,120,2564,4.6801872074882995
2020-12-31,Tameside and Glossop,115,1913,6.0115002613695765
2020-12-31,Trafford,30,1720,1.744186046511628
2020-12-31,Wigan Borough,105,2423,4.333470903838217
2021-01-31,Bolton,170,2295,7.407407407407407
2021-01-31,Bury,150,1746,8.59106529209622
2021-01-31,"Heywood, Middleton and Rochdale",95,1430,6.643356643356643
2021-01-31,Manchester,110,2764,3.979739507959479
2021-01-31,Oldham,75,1723,4.352872896111434
2021-01-31,Salford,85,1644,5.170316301703163
2021-01-31,Stockport,135,2551,5.292042336338691
2021-01-31,Tameside and Glossop,125,1896,6.5928270042194095
2021-01-31,Trafford,30,1728,1.7361111111111112
2021-01-31,Wigan Borough,85,2409,3.5284350352843505
2019-04-30,Bolton,160,2440,6.557377049180328
2019-04-30,Bury,145,1722,8.420441347270616
2019-04-30,"Heywood, Middleton and Rochdale",145,1591,9.113764927718416
2019-04-30,Manchester,110,3102,3.5460992907801416
2019-04-30,Oldham,115,1936,5.940082644628099
2019-04-30,Salford,100,2047,4.885197850512946
2019-04-30,Stockport,155,2895,5.354058721934369
2019-04-30,Tameside and Glossop,130,2182,5.957836846929423
2019-04-30,Trafford,35,1961,1.7848036715961244
2019-04-30,Wigan Borough,105,2688,3.90625
2019-05-31,Bolton,175,2442,7.166257166257166
2019-05-31,Bury,145,1736,8.352534562211982
2019-05-31,"Heywood, Middleton and Rochdale",165,1602,10.299625468164795
2019-05-31,Manchester,110,3103,3.544956493715759
2019-05-31,Oldham,110,1948,5.646817248459959
2019-05-31,Salford,110,2038,5.397448478900883
2019-05-31,Stockport,160,2896,5.524861878453039
2019-05-31,Tameside and Glossop,150,2188,6.855575868372943
2019-05-31,Trafford,40,1995,2.0050125313283207
2019-05-31,Wigan Borough,115,2717,4.232609495767391
2019-06-30,Bolton,140,2414,5.79950289975145
2019-06-30,Bury,140,1734,8.073817762399077
2019-06-30,"Heywood, Middleton and Rochdale",165,1618,10.19777503090235
2019-06-30,Manchester,135,3104,4.349226804123711
2019-06-30,Oldham,115,1962,5.861365953109073
2019-06-30,Salford,105,2044,5.136986301369863
2019-06-30,Stockport,165,2910,5.670103092783505
2019-06-30,Tameside and Glossop,145,2196,6.602914389799635
2019-06-30,Trafford,40,2006,1.9940179461615155
2019-06-30,Wigan Borough,130,2730,4.761904761904762
2019-07-31,Bolton,140,2409,5.8115400581154
2019-07-31,Bury,175,1919,9.119332985930171
2019-07-31,"Heywood, Middleton and Rochdale",165,1636,10.08557457212714
2019-07-31,Manchester,145,3147,4.607562758182396
2019-07-31,Oldham,110,1981,5.552751135790005
2019-07-31,Salford,110,2059,5.342399222923749
2019-07-31,Stockport,165,2941,5.610336620197212
2019-07-31,Tameside and Glossop,155,2177,7.119889756545705
2019-07-31,Trafford,30,2032,1.4763779527559056
2019-07-31,Wigan Borough,120,2734,4.389173372348208
2019-08-31,Bolton,170,2436,6.9786535303776684
2019-08-31,Bury,165,1932,8.540372670807454
2019-08-31,"Heywood, Middleton and Rochdale",170,1638,10.378510378510379
2019-08-31,Manchester,145,3162,4.585705249841872
2019-08-31,Oldham,120,1981,6.057546693589097
2019-08-31,Salford,105,2034,5.162241887905605
2019-08-31,Stockport,155,2925,5.299145299145299
2019-08-31,Tameside and Glossop,150,2178,6.887052341597796
2019-08-31,Trafford,35,2029,1.7249876786594383
2019-08-31,Wigan Borough,155,2770,5.595667870036101
2019-09-30,Bolton,165,2440,6.762295081967213
2019-09-30,Bury,160,1944,8.23045267489712
2019-09-30,"Heywood, Middleton and Rochdale",165,1644,10.036496350364963
2019-09-30,Manchester,120,3146,3.814367450731087
2019-09-30,Oldham,145,1976,7.338056680161944
2019-09-30,Salford,100,2044,4.892367906066537
2019-09-30,Stockport,160,2926,5.468215994531784
2019-09-30,Tameside and Glossop,145,2185,6.636155606407323
2019-09-30,Trafford,35,2024,1.7292490118577075
2019-09-30,Wigan Borough,115,2769,4.15312387143373
2019-10-31,Bolton,155,2423,6.397028477094511
2019-10-31,Bury,165,1948,8.470225872689939
2019-10-31,"Heywood, Middleton and Rochdale",165,1615,10.21671826625387
2019-10-31,Manchester,135,3069,4.39882697947214
2019-10-31,Oldham,105,1949,5.38737814263725
2019-10-31,Salford,110,2049,5.368472425573451
2019-10-31,Stockport,160,2860,5.594405594405594
2019-10-31,Tameside and Glossop,150,2172,6.906077348066298
2019-10-31,Trafford,40,1989,2.0110608345902463
2019-10-31,Wigan Borough,145,2749,5.274645325572935
2019-11-30,Bolton,130,2421,5.3696819496076005
2019-11-30,Bury,185,1935,9.560723514211887
2019-11-30,"Heywood, Middleton and Rochdale",155,1603,9.669369931378665
2019-11-30,Manchester,145,3094,4.686489980607628
2019-11-30,Oldham,105,1953,5.376344086021505
2019-11-30,Salford,105,2022,5.192878338278931
2019-11-30,Stockport,160,2873,5.569091541942221
2019-11-30,Tameside and Glossop,135,2178,6.198347107438017
2019-11-30,Trafford,40,2008,1.9920318725099602
2019-11-30,Wigan Borough,120,2758,4.350978970268311
2019-12-31,Bolton,170,2454,6.927465362673186
2019-12-31,Bury,165,1934,8.531540847983454
2019-12-31,"Heywood, Middleton and Rochdale",150,1604,9.351620947630924
2019-12-31,Manchester,115,3049,3.77172843555264
2019-12-31,Oldham,115,1941,5.92478104070067
2019-12-31,Salford,110,2002,5.4945054945054945
2019-12-31,Stockport,160,2874,5.567153792623521
2019-12-31,Tameside and Glossop,125,2168,5.765682656826568
2019-12-31,Trafford,55,1973,2.787633046122656
2019-12-31,Wigan Borough,135,2745,4.918032786885246
2020-01-31,Bolton,135,2414,5.592377796188898
2020-01-31,Bury,160,1932,8.281573498964804
2020-01-31,"Heywood, Middleton and Rochdale",140,1578,8.871989860583016
2020-01-31,Manchester,110,3035,3.624382207578254
2020-01-31,Oldham,120,1951,6.150691952844695
2020-01-31,Salford,115,1979,5.811015664477009
2020-01-31,Stockport,150,2842,5.277973258268824
2020-01-31,Tameside and Glossop,130,2155,6.0324825986078885
2020-01-31,Trafford,35,1943,1.8013381369016983
2020-01-31,Wigan Borough,130,2729,4.763649688530597
2020-02-29,Bolton,160,2430,6.584362139917696
2020-02-29,Bury,175,1934,9.048603929679421
2020-02-29,"Heywood, Middleton and Rochdale",140,1601,8.744534665833854
2020-02-29,Manchester,145,3040,4.769736842105263
2020-02-29,Oldham,100,1926,5.192107995846314
2020-02-29,Salford,110,1955,5.626598465473146
2020-02-29,Stockport,165,2822,5.846917080085046
2020-02-29,Tameside and Glossop,125,2167,5.7683433317951085
2020-02-29,Trafford,40,1934,2.0682523267838677
2020-02-29,Wigan Borough,140,2731,5.126327352618088
2020-03-31,Bolton,165,2443,6.753990994678674
2020-03-31,Bury,180,1915,9.399477806788513
2020-03-31,"Heywood, Middleton and Rochdale",150,1597,9.39261114589856
2020-03-31,Manchester,120,3047,3.9382999671808334
2020-03-31,Oldham,95,1911,4.9712192569335425
2020-03-31,Salford,115,1928,5.964730290456432
2020-03-31,Stockport,160,2822,5.669737774627923
2020-03-31,Tameside and Glossop,135,2150,6.27906976744186
2020-03-31,Trafford,35,1935,1.8087855297157622
2020-03-31,Wigan Borough,125,2708,4.6159527326440175
